0,2020-Overall,National,All,All,30946785.0,14826919.0,0.4791
1,2020-Overall,National,All,All,7182616.0,2859483.0,0.3981
2,2020-Overall,National,All,All,23699049.0,11945312.0,0.504
4,2020-Overall,National,All,0-64,4088345.0,2322324.0,0.568
5,2020-Overall,National,All,65-74,14440791.0,6495728.0,0.4498
6,2020-Overall,National,All,75-84,8507543.0,4133907.0,0.4859
7,2020-Overall,National,All,85 and over,3910106.0,1874960.0,0.4795
8,2020-Overall,National,All,All,26643001.0,12371786.0,0.4644
9,2020-Overall,National,All,All,3869764.0,2192809.0,0.5667
10,2020-Overall,National,All,All,434020.0,262324.0,0.6044
11,2020-Overall,National,Female,All,17319957.0,8625817.0,0.498
12,2020-Overall,National,Male,All,13626828.0,6201102.0,0.4551
13,2020-Overall,National,All,All,171203.0,91026.0,0.5317
14,2020-Overall,National,All,All,96952.0,50485.0,0.5207
15,2020-Overall,National,All,All,73655.0,40243.0,0.5464
17,2020-Overall,National,All,0-64,46448.0,26219.0,0.5645
18,2020-Overall,National,All,65-74,69115.0,35789.0,0.5178
19,2020-Overall,National,All,75-84,40743.0,21574.0,0.5295
20,2020-Overall,National,All,85 and over,14897.0,7444.0,0.4997
21,2020-Overall,National,All,All,121865.0,62918.0,0.5163
22,2020-Overall,National,All,All,42548.0,23721.0,0.5575
23,2020-Overall,National,All,All,6790.0,4387.0,0.6461
24,2020-Overall,National,Female,All,98954.0,55277.0,0.5586
25,2020-Overall,National,Male,All,72249.0,35749.0,0.4948
26,2020-Overall,National,All,All,878593.0,457145.0,0.5203
27,2020-Overall,National,All,All,41777.0,15851.0,0.3794
28,2020-Overall,National,All,All,829793.0,440207.0,0.5305
30,2020-Overall,National,All,0-64,77146.0,44184.0,0.5727
31,2020-Overall,National,All,65-74,415387.0,200787.0,0.4834
32,2020-Overall,National,All,75-84,257250.0,140038.0,0.5444
33,2020-Overall,National,All,85 and over,128810.0,72136.0,0.56
34,2020-Overall,National,All,All,789825.0,405729.0,0.5137
35,2020-Overall,National,All,All,67158.0,38322.0,0.5706
36,2020-Overall,National,All,All,21610.0,13094.0,0.6059
37,2020-Overall,National,Female,All,521149.0,274124.0,0.526
38,2020-Overall,National,Male,All,357444.0,183021.0,0.512
39,2020-Overall,National,All,All,2655424.0,1331643.0,0.5015
40,2020-Overall,National,All,All,375443.0,153133.0,0.4079
41,2020-Overall,National,All,All,2262853.0,1172604.0,0.5182
43,2020-Overall,National,All,0-64,775748.0,418647.0,0.5397
44,2020-Overall,National,All,65-74,1108995.0,523416.0,0.472
45,2020-Overall,National,All,75-84,536538.0,273190.0,0.5092
46,2020-Overall,National,All,85 and over,234143.0,116390.0,0.4971
47,2020-Overall,National,All,All,1818632.0,877931.0,0.4827
48,2020-Overall,National,All,All,691052.0,370289.0,0.5358
49,2020-Overall,National,All,All,145740.0,83423.0,0.5724
50,2020-Overall,National,Female,All,1539804.0,823297.0,0.5347
51,2020-Overall,National,Male,All,1115620.0,508346.0,0.4557
52,2020-Overall,National,All,All,1761884.0,940292.0,0.5337
53,2020-Overall,National,All,All,224335.0,101625.0,0.453
54,2020-Overall,National,All,All,1529965.0,836515.0,0.5468
56,2020-Overall,National,All,0-64,399901.0,239972.0,0.6001
57,2020-Overall,National,All,65-74,764651.0,376682.0,0.4926
58,2020-Overall,National,All,75-84,406829.0,219201.0,0.5388
59,2020-Overall,National,All,85 and over,190503.0,104437.0,0.5482
60,2020-Overall,National,All,All,1331755.0,681371.0,0.5116
61,2020-Overall,National,All,All,357082.0,213658.0,0.5983
62,2020-Overall,National,All,All,73047.0,45263.0,0.6196
63,2020-Overall,National,Female,All,998536.0,563803.0,0.5646
64,2020-Overall,National,Male,All,763348.0,376489.0,0.4932
65,2020-Overall,National,All,All,24604317.0,11583367.0,0.4708
66,2020-Overall,National,All,All,6302991.0,2484048.0,0.3941
67,2020-Overall,National,All,All,18271398.0,9087328.0,0.4974
69,2020-Overall,National,All,0-64,2697953.0,1541782.0,0.5715
70,2020-Overall,National,All,65-74,11457260.0,5069660.0,0.4425
71,2020-Overall,National,All,75-84,7140659.0,3415399.0,0.4783
72,2020-Overall,National,All,85 and over,3308445.0,1556526.0,0.4705
73,2020-Overall,National,All,All,21802222.0,9975454.0,0.4575
74,2020-Overall,National,All,All,2627336.0,1499108.0,0.5706
75,2020-Overall,National,All,All,174759.0,108805.0,0.6226
76,2020-Overall,National,Female,All,13788414.0,6720685.0,0.4874
77,2020-Overall,National,Male,All,10815903.0,4862682.0,0.4496
91,2020-Overall,National,All,All,6207937.0,3492443.0,0.5626
92,2020-Overall,National,All,All,1514430.0,755186.0,0.4987
93,2020-Overall,National,All,All,4680937.0,2731398.0,0.5835
95,2020-Overall,National,All,0-64,2547729.0,1519340.0,0.5964
96,2020-Overall,National,All,65-74,1846330.0,995215.0,0.539
97,2020-Overall,National,All,75-84,1078273.0,595256.0,0.552
98,2020-Overall,National,All,85 and over,735605.0,382632.0,0.5202
99,2020-Overall,National,All,All,3578996.0,1923162.0,0.5373
100,2020-Overall,National,All,All,2418403.0,1439035.0,0.595
101,2020-Overall,National,All,All,210538.0,130246.0,0.6186
102,2020-Overall,National,Female,All,3670080.0,2145043.0,0.5845
103,2020-Overall,National,Male,All,2537857.0,1347400.0,0.5309
104,2020-Overall,National,All,All,74055.0,41043.0,0.5542
105,2020-Overall,National,All,All,414641.0,241079.0,0.5814
106,2020-Overall,National,All,All,1124036.0,602370.0,0.5359
107,2020-Overall,National,All,All,865853.0,513594.0,0.5932
108,2020-Overall,National,All,All,3564108.0,1997598.0,0.5605
110,2020-Overall,National,All,All,24738848.0,11334476.0,0.4582
111,2020-Overall,National,All,All,5668186.0,2104297.0,0.3712
112,2020-Overall,National,All,All,19018112.0,9213914.0,0.4845
114,2020-Overall,National,All,0-64,1540616.0,802984.0,0.5212
115,2020-Overall,National,All,65-74,12594461.0,5500513.0,0.4367
