Year-Quarter,State,Year,Month,TelehealthType,ServiceCount,RatePer1000Beneficiaries
2018-1,Alabama,2018,1,Live audio/video," 6,905 ",5.6
2018-1,Alabama,2018,2,Live audio/video," 4,821 ",3.9
2018-1,Alabama,2018,3,Live audio/video," 2,269 ",1.8
2018-2,Alabama,2018,4,Live audio/video," 2,290 ",1.8
2018-2,Alabama,2018,5,Live audio/video," 2,380 ",1.9
2018-2,Alabama,2018,6,Live audio/video," 2,044 ",1.6
2018-3,Alabama,2018,7,Live audio/video," 2,113 ",1.7
2018-3,Alabama,2018,8,Live audio/video," 2,420 ",1.9
2018-3,Alabama,2018,9,Live audio/video," 2,035 ",1.6
2018-4,Alabama,2018,10,Live audio/video," 2,309 ",1.8
2018-4,Alabama,2018,11,Live audio/video," 2,200 ",1.7
2018-4,Alabama,2018,12,Live audio/video," 2,051 ",1.6
2019-1,Alabama,2019,1,Live audio/video," 2,500 ",1.9
2019-1,Alabama,2019,2,Live audio/video," 2,255 ",1.7
2019-1,Alabama,2019,3,Live audio/video," 2,312 ",1.8
2019-2,Alabama,2019,4,Live audio/video," 2,672 ",2.0
2019-2,Alabama,2019,5,Live audio/video," 2,410 ",1.8
2019-2,Alabama,2019,6,Live audio/video," 2,283 ",1.8
2019-3,Alabama,2019,7,Live audio/video," 2,588 ",2.0
2019-3,Alabama,2019,8,Live audio/video," 2,560 ",1.9
2019-3,Alabama,2019,9,Live audio/video," 2,397 ",1.8
2019-4,Alabama,2019,10,Live audio/video," 2,435 ",1.8
2019-4,Alabama,2019,11,Live audio/video," 2,186 ",1.7
2019-4,Alabama,2019,12,Live audio/video," 2,025 ",1.6
2020-1,Alabama,2020,1,Live audio/video," 2,500 ",2.0
2020-1,Alabama,2020,2,Live audio/video," 2,395 ",2.0
2020-1,Alabama,2020,3,Live audio/video," 33,629 ",28.6
2020-2,Alabama,2020,4,Live audio/video," 125,908 ",106.3
2020-2,Alabama,2020,5,Live audio/video," 96,358 ",80.7
2020-2,Alabama,2020,6,Live audio/video," 81,155 ",67.3
2020-3,Alabama,2020,7,Live audio/video," 83,643 ",68.8
2020-3,Alabama,2020,8,Live audio/video," 77,439 ",63.1
2020-3,Alabama,2020,9,Live audio/video," 70,546 ",57.3
2020-4,Alabama,2020,10,Live audio/video," 61,123 ",49.4
2020-4,Alabama,2020,11,Live audio/video," 56,855 ",45.7
2020-4,Alabama,2020,12,Live audio/video," 61,869 ",49.3
2021-1,Alabama,2021,1,Live audio/video," 63,258 ",50.1
2021-1,Alabama,2021,2,Live audio/video," 59,037 ",46.5
2021-1,Alabama,2021,3,Live audio/video," 59,312 ",46.4
2021-2,Alabama,2021,4,Live audio/video," 51,657 ",40.1
2021-2,Alabama,2021,5,Live audio/video," 42,650 ",32.8
2021-2,Alabama,2021,6,Live audio/video," 37,931 ",29.0
2021-3,Alabama,2021,7,Live audio/video," 33,616 ",25.6
2021-3,Alabama,2021,8,Live audio/video," 44,708 ",33.9
